Stock,Strategy,Final Value,Cumulative Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Calmar Ratio,Number of Trades
reliance_ns,Buy_and_Hold,809207.7452919844,709.2077452919845,21.41826562039768,27.13091774566242,0.6299100195393281,0.05928310625255488,-45.08835733613129,0.47502874102788123,1
reliance_ns,Random,36644.55775952798,-63.355442240472016,-8.897064263608689,19.217308538764218,-0.7009630611162442,-0.060573782883207916,-69.62663198160718,-0.12778248797039285,894
reliance_ns,EMA_Crossover,319845.28296704567,219.84528296704568,11.395424929085252,19.448788844323236,0.34335900715822126,0.03216440800901757,-32.65616482292593,0.3489517213939712,89
reliance_ns,RSI_Strategy,218665.4858990754,118.66548589907539,7.531972768992512,18.74221341619101,0.16091117688388373,0.014436928097689448,-41.212255750790646,0.1827605073242809,66
tcs_ns,Buy_and_Hold,321985.9406000502,221.9859406000502,11.464415619622814,23.213228712641115,0.32533476990686194,0.030046119328222654,-34.44898020558079,0.3327940493798873,1
tcs_ns,Random,27038.13665723989,-72.9618633427601,-11.43188517367717,16.740954620201,-0.9998680141727464,-0.08594331670060557,-73.91341807082766,-0.1546658979121023,896
tcs_ns,EMA_Crossover,123036.89946177762,23.03689946177762,1.9428744055934422,16.930436253606988,-0.15627987751835679,-0.014054830758457053,-41.31577904914758,0.047024997478137286,103
tcs_ns,RSI_Strategy,226739.5774005683,126.7395774005683,7.894478953203077,15.640804933600757,0.1807019333913214,0.01573409019265611,-29.565444117776508,0.2670170933930414,74
hdfcbank_ns,Buy_and_Hold,455457.85232689866,355.45785232689866,15.110683713825068,22.14275356354112,0.4758234894925802,0.04116565205590048,-41.05498085651672,0.36805969455047316,1
hdfcbank_ns,Random,105432.91821056373,5.43291821056373,0.492256942497038,15.463155621951291,-0.2793066066652123,-0.025700217093889453,-44.31108149038673,0.011109115957908474,873
hdfcbank_ns,EMA_Crossover,228063.85099040953,128.06385099040952,7.952814398707897,15.924613662274492,0.18349937773498973,0.016085396605941608,-37.141840343152666,0.2141200954296291,92
hdfcbank_ns,RSI_Strategy,171059.4212210703,71.05942122107031,5.109062711934853,15.637516216574951,0.013620695556813368,0.0011616187213371954,-38.53483439010015,0.1325829679249226,60
infy_ns,Buy_and_Hold,440266.14994300005,340.2661499430001,14.748801984320759,26.376225154188663,0.4268291395910936,0.03711935603860686,-36.549811228274805,0.40352607821161973,1
infy_ns,Random,20337.511544702404,-79.66248845529759,-13.742313069558554,19.16746569158422,-0.9877070366477473,-0.08159469897431317,-80.1978667483788,-0.17135509492634174,919
infy_ns,EMA_Crossover,240215.32625890846,140.21532625890848,8.474204777517746,18.767429468560195,0.20773305700881023,0.018250561539377506,-39.21656834680623,0.21608736140748738,83
infy_ns,RSI_Strategy,189950.65550364924,89.95065550364923,6.136018583373559,17.622558769006254,0.08568560338327337,0.007497165824177664,-41.5700284830838,0.14760679285727468,60
